IP Address,Timestamp,Method,Path,Status Code,Response Size,Referrer URL,User Agent
166.97.9.208,2025-02-13 11:48:36,GET,/index.html,500,3110,http://example.com,Mozilla/5.0 (Linux; Android 10)
6.34.20.75,2025-02-13 10:04:50,POST,/contact,500,4056,http://example.com/login,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
52.154.96.121,2025-02-13 10:08:16,DELETE,/contact,200,4284,http://example.com/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
3.1.164.158,2025-02-13 11:18:01,PUT,/products,200,3025,http://example.com/products,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
250.129.246.99,2025-02-13 11:39:26,POST,/about,200,4380,http://example.com/products,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
203.26.245.28,2025-02-13 10:28:41,POST,/login,302,1430,http://example.com,Mozilla/5.0 (Macintosh; Intel Mac OS X)
238.187.58.60,2025-02-13 11:24:15,DELETE,/contact,302,555,http://example.com/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
249.4.71.67,2025-02-13 11:43:17,PUT,/contact,404,2423,http://example.com/products,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
171.76.38.185,2025-02-13 11:44:44,PUT,/about,404,926,http://example.com/login,Mozilla/5.0 (Linux; Android 10)
193.27.209.236,2025-02-13 11:51:26,GET,/index.html,404,4016,http://example.com/login,Mozilla/5.0 (Linux; Android 10)
84.203.41.41,2025-02-13 11:11:22,POST,/contact,302,704,http://example.com/products,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
254.130.45.99,2025-02-13 11:43:37,DELETE,/products,500,2849,http://example.com,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
143.176.3.132,2025-02-13 11:04:52,DELETE,/login,404,455,http://example.com/login,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
105.19.245.194,2025-02-13 10:34:17,PUT,/index.html,302,657,http://example.com,Mozilla/5.0 (Linux; Android 10)
191.238.96.165,2025-02-13 10:32:39,GET,/products,302,502,http://example.com/login,Mozilla/5.0 (Linux; Android 10)
166.81.134.3,2025-02-13 10:42:56,GET,/contact,302,1827,http://example.com/login,Mozilla/5.0 (Linux; Android 10)
59.179.221.246,2025-02-13 10:05:10,POST,/contact,500,2806,http://example.com,Mozilla/5.0 (Macintosh; Intel Mac OS X)
44.226.128.236,2025-02-13 10:56:56,GET,/contact,500,2183,http://example.com/products,Mozilla/5.0 (Linux; Android 10)
237.199.47.161,2025-02-13 11:21:20,DELETE,/about,404,1273,http://example.com,Mozilla/5.0 (Linux; Android 10)
99.132.61.207,2025-02-13 11:17:12,PUT,/about,302,2897,http://example.com/login,Mozilla/5.0 (Linux; Android 10)
59.1.205.246,2025-02-13 10:06:15,PUT,/index.html,500,3506,http://example.com/login,Mozilla/5.0 (Linux; Android 10)
82.101.194.101,2025-02-13 11:20:06,PUT,/index.html,500,343,http://example.com/login,Mozilla/5.0 (Linux; Android 10)
136.221.248.110,2025-02-13 10:15:41,GET,/contact,302,2659,http://example.com/login,Mozilla/5.0 (Linux; Android 10)
197.43.84.196,2025-02-13 10:48:07,GET,/login,404,4892,http://example.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
82.138.190.6,2025-02-13 10:35:09,POST,/contact,404,3699,http://example.com,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
34.174.52.14,2025-02-13 10:42:30,PUT,/contact,200,2910,http://example.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
189.215.77.227,2025-02-13 11:01:07,DELETE,/products,500,1814,http://example.com/products,Mozilla/5.0 (Linux; Android 10)
224.20.242.212,2025-02-13 11:46:34,GET,/login,200,3886,http://example.com/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
26.196.84.173,2025-02-13 11:02:52,GET,/index.html,200,3552,http://example.com/products,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
84.198.98.30,2025-02-13 11:35:12,DELETE,/index.html,500,3532,http://example.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
60.192.38.178,2025-02-13 10:18:39,DELETE,/products,500,1341,http://example.com/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
47.158.52.241,2025-02-13 11:12:50,POST,/login,302,4469,http://example.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
194.17.137.95,2025-02-13 10:47:22,POST,/login,200,4939,http://example.com/products,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
251.168.184.8,2025-02-13 10:11:35,PUT,/contact,500,3249,http://example.com,Mozilla/5.0 (Macintosh; Intel Mac OS X)
132.71.231.158,2025-02-13 10:02:31,POST,/contact,500,2543,http://example.com/login,Mozilla/5.0 (Linux; Android 10)
240.150.13.217,2025-02-13 11:18:14,PUT,/login,302,3302,http://example.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
